year,country,gdp_per_capita,social_support,health,freedom,trust,generosity,happiness_score_next_year
2017,Botswana,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0985831990838051,0.0993484482169151,3.59
2015,Brazil,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,6.952
2016,Brazil,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,6.63500022888184
2017,Brazil,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,6.419
2015,Bulgaria,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,4.217
2016,Bulgaria,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,4.71400022506714
2017,Bulgaria,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.0110515309497714,0.113177694380283,4.933
2015,Burkina Faso,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,3.739
2016,Burkina Faso,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,4.03200006484985
2017,Burkina Faso,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.120328105986118,0.250864684581757,4.424
2015,Burundi,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,2.905
2016,Burundi,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.90499997138977
2017,Burundi,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.0841479450464249,0.204435184597969,2.905
2015,Cambodia,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,3.907
2016,Cambodia,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,4.16800022125244
2017,Cambodia,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,0.0681059509515762,0.385922968387604,4.433
2015,Cameroon,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,4.513
2016,Cameroon,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,4.69500017166138
2017,Cameroon,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.0513066314160824,0.236298456788063,4.975
2015,Canada,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,7.404
2016,Canada,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,7.31599998474121
2017,Canada,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,7.328
2015,Central African Republic,0.0785,0,0.06699,0.48879,0.08289,0.23835,2.69300007820129
2017,Central African Republic,0,0,0.0187726859003305,0.270842045545578,0.0565650761127472,0.280876487493515,3.083
2015,Chad,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,3.763
2016,Chad,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,3.93600010871887
2017,Chad,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.0535818822681904,0.216113850474358,4.301
2015,Chile,1.10715,1.12447,0.85857000000000006,0.44132,0.12869,0.33363,6.705
2016,Chile,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,6.65199995040894
2017,Chile,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.0822879821062088,0.326662421226501,6.476
2015,China,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,5.245
2016,China,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,5.27299976348877
2017,China,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0227942746132612,0.0288068410009146,5.246
2015,Colombia,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,6.481
2016,Colombia,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,6.35699987411499
2017,Colombia,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.0466687418520451,0.149014472961426,6.26
2015,Comoros,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,3.956
2016,Comoros,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,3.973
2015,Congo (Brazzaville),0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,4.236
2016,Congo (Brazzaville),0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,4.29099988937378
2017,Congo (Brazzaville),0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,0.0796181336045265,0.120852127671242,4.559
2015,Congo (Kinshasa),0,1.0012,0.09806,0.22605,0.07625,0.24834,4.272
2016,Congo (Kinshasa),0.05661,0.80676,0.188,0.15602,0.06075,0.25458,4.28000020980835
2017,Congo (Kinshasa),0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,0.0602413564920425,0.246455833315849,4.245
2015,Costa Rica,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,7.087
2016,Costa Rica,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,7.0789999961853
2017,Costa Rica,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.100106589496136,0.214613229036331,7.072
2015,Croatia,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,5.488
2016,Croatia,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,5.29300022125244
2017,Croatia,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.0431031100451946,0.248002976179123,5.321
2015,Cyprus,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,5.546
2016,Cyprus,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,5.62099981307983
2017,Cyprus,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.0412379764020443,0.271254301071167,5.762
2015,Czech Republic,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,6.596
2016,Czech Republic,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,6.60900020599365
2017,Czech Republic,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0368729270994663,0.0881067588925362,6.711
2015,Denmark,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,7.526
2016,Denmark,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,7.52199983596802
2017,Denmark,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.40077006816864,0.355280488729477,7.555
2015,Dominican Republic,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,5.155
2016,Dominican Republic,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,5.23000001907349
2017,Dominican Republic,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.113945253193378,0.186967849731445,5.302
2015,Ecuador,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,5.976
2016,Ecuador,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,6.00799989700317
2017,Ecuador,1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.140134647488594,0.150112465023994,5.973
2015,Egypt,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,4.362
2016,Egypt,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,4.7350001335144
2017,Egypt,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.114381365478039,0.128631442785263,4.419
2015,El Salvador,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,6.068
2016,El Salvador,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,6.00299978256226
2017,El Salvador,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0899809598922729,0.0782579854130745,6.167
2015,Estonia,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,5.517
2016,Estonia,1.2796400000000001,1.05163,0.68098,0.41511,0.18519,0.08423,5.61100006103516
2017,Estonia,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.183248922228813,0.0988908112049103,5.739
2015,Ethiopia,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,4.508
2016,Ethiopia,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,4.46000003814697
2017,Ethiopia,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.165455713868141,0.312650740146637,4.35
2015,Finland,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,7.413
2016,Finland,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,7.4689998626709
